txn_id,src_account_id,dst_account_id,amount,currency,channel,ts,status
T-3033,A-2199,A-2150,4298.56,CAD,POS,2022-12-19T17:05:07,FAILED
T-3034,A-2269,A-2176,9926.67,USD,POS,2021-04-13T15:58:28,PENDING
T-3035,A-2220,A-2156,9927.42,USD,ONLINE,2024-02-02T04:57:05,SUCCESS
T-3036,A-2235,A-2014,4555.12,USD,ONLINE,2024-07-28T05:43:27,PENDING
T-3037,A-2153,A-2222,2814.31,JPY,ONLINE,2022-03-29T01:17:43,SUCCESS
T-3038,A-2156,A-2264,2991.84,USD,POS,2025-04-21T01:14:55,PENDING
T-3039,A-2260,A-2198,8020.99,USD,CASH,2024-02-27T20:27:07,PENDING
T-3040,A-2016,A-2079,1322.51,JPY,POS,2025-01-22T22:15:08,SUCCESS
T-3041,A-2099,A-2243,997.31,CAD,CASH,2021-02-09T21:50:00,PENDING
T-3042,A-2260,A-2005,9593.9,AUD,CASH,2024-04-26T10:46:46,PENDING
T-3043,A-2244,A-2079,2844.32,GBP,POS,2020-07-21T17:57:49,FAILED
T-3044,A-2299,A-2067,1755.06,USD,ONLINE,2022-07-15T14:42:33,FAILED
T-3045,A-2201,A-2152,4212.47,EUR,CASH,2021-11-05T01:56:52,SUCCESS
T-3046,A-2077,A-2090,5109.16,GBP,ONLINE,2022-08-23T12:47:05,FAILED
T-3047,A-2197,A-2110,8461.72,AUD,POS,2021-05-12T12:25:27,SUCCESS
T-3048,A-2219,A-2135,7177.15,CAD,ATM,2022-06-06T21:19:48,SUCCESS
T-3049,A-2272,A-2041,9228.72,JPY,ONLINE,2025-08-19T14:57:00,SUCCESS
T-3050,A-2289,A-2300,5127.3,INR,CASH,2022-03-19T22:45:37,SUCCESS
T-3051,A-2052,A-2139,8744.16,INR,ATM,2024-12-13T18:15:09,SUCCESS
T-3052,A-2123,A-2032,1017.2,INR,CASH,2020-08-28T07:34:48,SUCCESS
T-3053,A-2277,A-2040,5144.66,INR,MOBILE,2025-04-15T00:07:19,PENDING
T-3054,A-2047,A-2292,2166.8,CAD,ONLINE,2020-11-23T14:13:15,FAILED
T-3055,A-2156,A-2017,6397.48,CAD,MOBILE,2022-03-05T09:40:41,PENDING
T-3056,A-2159,A-2030,220.5,CAD,MOBILE,2020-06-29T12:37:46,PENDING
T-3057,A-2190,A-2156,9708.82,CAD,ATM,2021-01-22T16:51:16,PENDING
T-3058,A-2193,A-2070,7648.56,INR,ONLINE,2022-11-06T18:41:05,FAILED
T-3059,A-2234,A-2038,6780.21,JPY,CASH,2023-06-19T14:15:56,SUCCESS
T-3060,A-2271,A-2182,4809.66,EUR,CASH,2023-04-05T18:20:11,FAILED
T-3061,A-2184,A-2193,827.2,EUR,ATM,2022-10-14T23:02:03,PENDING
T-3062,A-2215,A-2159,4798.94,GBP,CASH,2024-01-06T02:27:47,SUCCESS
T-3063,A-2260,A-2255,2327.86,JPY,MOBILE,2023-02-07T22:31:07,FAILED
T-3064,A-2151,A-2074,9981.69,INR,ONLINE,2023-02-12T10:52:37,PENDING
T-3065,A-2093,A-2223,9406.77,USD,MOBILE,2025-01-09T07:24:33,SUCCESS
T-3066,A-2137,A-2105,4432.56,EUR,POS,2020-05-15T17:09:18,PENDING
T-3067,A-2201,A-2102,2113.17,EUR,ONLINE,2025-05-05T15:17:26,SUCCESS
T-3068,A-2120,A-2057,9726.73,INR,MOBILE,2023-09-20T10:31:40,FAILED
T-3069,A-2143,A-2027,2000.39,AUD,CASH,2020-02-24T09:03:51,SUCCESS
T-3070,A-2221,A-2286,2213.77,CAD,POS,2020-02-19T23:39:46,FAILED
T-3071,A-2124,A-2218,7906.45,INR,CASH,2022-03-09T13:15:02,PENDING
T-3072,A-2270,A-2018,1427.84,INR,MOBILE,2021-05-11T13:35:47,PENDING
T-3073,A-2196,A-2139,6074.09,INR,ATM,2021-05-27T23:30:05,PENDING
T-3074,A-2141,A-2171,35.68,CAD,POS,2021-07-02T04:07:56,PENDING
T-3075,A-2272,A-2207,2943.16,CAD,ATM,2021-08-03T06:07:52,PENDING
T-3076,A-2179,A-2104,405.16,AUD,CASH,2024-12-19T07:17:55,FAILED
T-3077,A-2178,A-2002,2380.04,AUD,POS,2023-05-16T19:45:58,SUCCESS
T-3078,A-2066,A-2213,236.44,EUR,CASH,2025-07-25T08:08:42,SUCCESS
T-3079,A-2094,A-2089,2537.31,JPY,CASH,2024-06-15T22:16:26,PENDING
T-3080,A-2202,A-2094,5197.26,USD,ATM,2024-10-04T03:49:07,PENDING
T-3081,A-2091,A-2052,404.74,USD,MOBILE,2024-02-12T08:02:24,SUCCESS
T-3082,A-2282,A-2178,7935.51,GBP,MOBILE,2024-12-07T03:31:23,FAILED
T-3083,A-2109,A-2296,3450.06,AUD,CASH,2022-04-07T22:31:12,FAILED
T-3084,A-2144,A-2219,7541.9,USD,ATM,2020-10-10T04:58:38,SUCCESS
T-3085,A-2239,A-2037,7725.65,GBP,ATM,2021-05-24T07:42:33,PENDING
T-3086,A-2299,A-2189,9346.55,CAD,POS,2021-11-22T08:13:41,PENDING
T-3087,A-2286,A-2195,5040.82,GBP,ONLINE,2021-10-27T21:45:26,PENDING
T-3088,A-2131,A-2300,3961.8,GBP,CASH,2023-01-10T18:33:19,PENDING
T-3089,A-2121,A-2186,9692.15,JPY,ONLINE,2021-11-25T06:47:17,PENDING
T-3090,A-2132,A-2038,8709.04,CAD,MOBILE,2024-10-08T19:44:41,FAILED
T-3091,A-2235,A-2009,5683.72,USD,POS,2023-12-21T16:44:00,FAILED
T-3092,A-2159,A-2129,5554.25,CAD,ONLINE,2024-04-22T04:20:40,SUCCESS
T-3093,A-2018,A-2124,3329.34,AUD,CASH,2020-01-12T09:11:18,PENDING
T-3094,A-2272,A-2169,4706.41,GBP,MOBILE,2024-01-16T22:24:12,PENDING
T-3095,A-2024,A-2248,9630.22,INR,MOBILE,2023-03-27T14:37:29,SUCCESS
T-3096,A-2260,A-2292,3528.03,CAD,ONLINE,2023-06-11T08:03:33,FAILED
T-3097,A-2166,A-2061,9448.47,AUD,ATM,2020-01-09T05:42:57,SUCCESS
T-3098,A-2140,A-2294,1856.15,CAD,POS,2023-11-25T16:29:41,SUCCESS
T-3099,A-2157,A-2040,1901.19,CAD,POS,2022-09-01T09:30:25,PENDING
T-3100,A-2290,A-2207,5153.66,INR,CASH,2021-09-10T08:02:27,PENDING
T-3101,A-2017,A-2142,4359.69,USD,CASH,2022-12-28T20:25:06,FAILED
T-3102,A-2167,A-2109,8480.3,CAD,POS,2022-08-10T05:35:15,SUCCESS
T-3103,A-2285,A-2233,2955.0,JPY,POS,2022-07-01T00:15:19,PENDING
T-3104,A-2266,A-2082,1111.96,USD,POS,2022-02-26T08:13:28,SUCCESS
T-3105,A-2116,A-2109,1024.78,USD,ONLINE,2021-02-16T19:07:42,FAILED
T-3106,A-2191,A-2250,1486.92,INR,CASH,2024-11-03T15:43:48,PENDING
T-3107,A-2066,A-2054,1094.12,JPY,ATM,2025-08-12T11:06:31,SUCCESS
T-3108,A-2095,A-2020,9827.58,INR,ATM,2021-11-23T23:30:03,FAILED
T-3109,A-2052,A-2243,3062.01,USD,CASH,2023-07-22T06:39:56,FAILED
T-3110,A-2278,A-2135,2669.32,AUD,MOBILE,2021-10-21T00:17:04,PENDING
T-3111,A-2285,A-2109,4964.63,USD,CASH,2024-02-09T18:53:03,PENDING
T-3112,A-2242,A-2124,185.24,AUD,POS,2025-03-25T00:04:40,SUCCESS
T-3113,A-2049,A-2112,1870.47,JPY,ONLINE,2023-10-23T10:41:29,FAILED
T-3114,A-2247,A-2279,3858.18,GBP,ATM,2020-10-10T16:13:00,FAILED
T-3115,A-2079,A-2047,2610.2,INR,CASH,2025-02-13T14:29:12,PENDING
T-3116,A-2259,A-2118,3344.01,USD,ONLINE,2021-10-16T00:35:23,FAILED
T-3117,A-2097,A-2157,4966.52,CAD,ONLINE,2021-10-20T04:38:20,FAILED
T-3118,A-2049,A-2097,1765.07,CAD,POS,2025-07-28T23:15:51,PENDING
T-3119,A-2247,A-2242,8917.26,CAD,MOBILE,2023-08-23T15:03:23,SUCCESS
T-3120,A-2277,A-2248,6256.55,GBP,ATM,2024-10-09T16:17:10,SUCCESS
T-3121,A-2263,A-2031,2439.63,CAD,ATM,2025-06-11T04:34:07,SUCCESS
T-3122,A-2254,A-2124,6706.03,GBP,MOBILE,2023-06-13T09:57:55,PENDING
T-3123,A-2158,A-2244,2857.41,JPY,ATM,2020-11-07T23:11:00,FAILED
T-3124,A-2299,A-2045,7108.05,EUR,MOBILE,2022-10-23T02:32:06,SUCCESS
T-3125,A-2272,A-2235,5111.23,USD,ONLINE,2023-09-01T15:23:35,SUCCESS
T-3126,A-2106,A-2291,7064.44,INR,ONLINE,2020-12-21T14:31:46,SUCCESS
T-3127,A-2179,A-2067,5422.59,INR,MOBILE,2025-08-18T09:34:32,PENDING
T-3128,A-2204,A-2013,4476.18,JPY,MOBILE,2020-07-21T19:36:59,PENDING
T-3129,A-2147,A-2078,4288.66,GBP,ATM,2021-05-30T20:51:07,PENDING
T-3130,A-2144,A-2024,7256.04,GBP,CASH,2020-04-11T13:52:47,PENDING
T-3131,A-2237,A-2015,2496.26,USD,CASH,2020-09-04T13:26:22,FAILED
T-3132,A-2245,A-2021,8552.43,AUD,CASH,2021-06-02T01:53:52,FAILED
T-3133,A-2125,A-2271,1242.96,CAD,ONLINE,2024-01-10T02:20:59,PENDING
T-3134,A-2100,A-2122,809.22,USD,MOBILE,2020-10-15T11:18:35,FAILED
T-3135,A-2006,A-2173,2463.49,GBP,ATM,2023-09-16T00:40:56,PENDING
T-3136,A-2026,A-2115,7986.84,CAD,ONLINE,2021-06-19T14:55:37,PENDING
T-3137,A-2060,A-2238,1319.31,EUR,POS,2020-11-26T12:37:31,PENDING
T-3138,A-2075,A-2294,93.25,CAD,ONLINE,2023-06-05T16:19:39,PENDING
T-3139,A-2246,A-2109,4284.77,GBP,ONLINE,2025-01-30T16:02:21,PENDING
T-3140,A-2102,A-2183,5222.54,CAD,ONLINE,2024-11-27T03:12:58,SUCCESS
T-3141,A-2147,A-2018,8833.82,JPY,MOBILE,2022-11-23T04:18:17,PENDING
T-3142,A-2280,A-2135,977.43,EUR,ATM,2022-02-02T23:27:08,PENDING
T-3143,A-2198,A-2195,6332.78,EUR,ATM,2023-09-13T07:18:53,PENDING
T-3144,A-2218,A-2002,3676.44,INR,MOBILE,2020-03-20T13:33:40,PENDING
T-3145,A-2212,A-2228,2145.66,CAD,ONLINE,2021-01-26T18:29:55,SUCCESS
T-3146,A-2237,A-2180,8625.59,CAD,MOBILE,2020-09-02T15:04:26,PENDING
T-3147,A-2022,A-2222,7977.6,INR,MOBILE,2022-06-29T23:22:04,PENDING
T-3148,A-2052,A-2005,3851.25,EUR,ONLINE,2022-04-20T13:25:45,FAILED
T-3149,A-2062,A-2180,3454.04,CAD,MOBILE,2022-11-03T23:32:18,SUCCESS
T-3150,A-2181,A-2268,6920.12,CAD,CASH,2020-03-09T01:45:29,PENDING
T-3151,A-2078,A-2032,5892.89,GBP,ATM,2020-02-08T21:28:04,SUCCESS
T-3152,A-2268,A-2250,3708.8,JPY,MOBILE,2024-03-12T16:49:40,PENDING
T-3153,A-2105,A-2026,674.48,GBP,CASH,2025-07-01T09:39:12,SUCCESS
T-3154,A-2147,A-2094,6741.42,GBP,ATM,2020-09-26T23:52:36,FAILED
T-3155,A-2150,A-2076,2026.56,EUR,POS,2022-02-12T16:01:47,FAILED
T-3156,A-2294,A-2080,9589.98,JPY,ONLINE,2023-08-11T20:03:09,SUCCESS
T-3157,A-2011,A-2168,8082.18,EUR,ONLINE,2023-05-25T04:46:11,FAILED
T-3158,A-2221,A-2269,5708.57,EUR,CASH,2021-10-19T00:11:49,PENDING
T-3159,A-2182,A-2092,6577.11,USD,ONLINE,2021-03-22T20:01:06,FAILED
T-3160,A-2122,A-2034,7396.37,EUR,ATM,2024-07-22T16:33:26,FAILED
T-3161,A-2023,A-2273,1562.27,USD,POS,2023-09-26T20:04:04,SUCCESS
T-3162,A-2159,A-2195,5685.05,EUR,ONLINE,2025-08-14T11:52:17,SUCCESS
T-3163,A-2127,A-2052,4380.21,GBP,MOBILE,2022-10-28T06:08:17,SUCCESS
T-3164,A-2211,A-2274,1541.64,GBP,POS,2023-04-14T16:29:19,SUCCESS
T-3165,A-2020,A-2297,8124.14,GBP,MOBILE,2022-03-31T12:57:20,FAILED
T-3166,A-2119,A-2029,1580.81,EUR,MOBILE,2020-03-24T23:36:21,SUCCESS
T-3167,A-2036,A-2236,5389.88,INR,ONLINE,2025-08-02T09:29:54,SUCCESS
T-3168,A-2296,A-2049,593.1,EUR,CASH,2025-01-19T13:08:26,PENDING
T-3169,A-2176,A-2186,3070.58,AUD,MOBILE,2023-06-19T18:03:54,FAILED
T-3170,A-2249,A-2018,551.46,CAD,CASH,2024-04-29T18:20:25,PENDING
T-3171,A-2262,A-2300,3058.2,USD,MOBILE,2024-11-23T18:22:32,FAILED
T-3172,A-2008,A-2209,1548.53,EUR,POS,2020-05-18T11:21:59,SUCCESS
T-3173,A-2018,A-2063,8405.42,CAD,CASH,2020-04-25T16:31:23,PENDING
T-3174,A-2235,A-2136,2661.79,CAD,CASH,2022-04-23T09:42:58,PENDING
T-3175,A-2145,A-2164,191.93,USD,POS,2020-08-12T14:48:14,FAILED
T-3176,A-2129,A-2175,2636.32,GBP,CASH,2024-03-26T23:11:56,PENDING
T-3177,A-2096,A-2158,224.83,USD,MOBILE,2020-03-02T23:22:36,PENDING
T-3178,A-2056,A-2029,2530.27,CAD,CASH,2022-07-12T15:32:54,PENDING
T-3179,A-2131,A-2213,6642.57,CAD,POS,2023-12-04T23:01:39,SUCCESS
T-3180,A-2022,A-2118,3844.85,CAD,POS,2021-02-10T06:46:28,FAILED
T-3181,A-2088,A-2139,4066.4,AUD,MOBILE,2023-12-26T01:57:15,PENDING
T-3182,A-2143,A-2152,5627.67,USD,POS,2021-12-02T01:40:35,FAILED
T-3183,A-2085,A-2173,1830.86,JPY,ATM,2022-10-16T23:40:29,SUCCESS
T-3184,A-2217,A-2070,8248.04,AUD,CASH,2021-06-16T00:42:26,SUCCESS
T-3185,A-2071,A-2107,3507.89,INR,POS,2024-10-31T23:02:23,PENDING
T-3186,A-2072,A-2195,7583.3,INR,ONLINE,2021-01-25T23:38:55,PENDING
T-3187,A-2037,A-2071,7624.69,AUD,CASH,2022-05-07T20:14:17,SUCCESS
T-3188,A-2091,A-2265,6303.82,USD,POS,2022-06-17T04:54:25,FAILED
T-3189,A-2026,A-2039,6148.07,EUR,MOBILE,2025-07-26T13:16:32,PENDING
T-3190,A-2260,A-2149,1913.93,INR,ONLINE,2020-03-31T17:40:50,FAILED
T-3191,A-2154,A-2067,7232.79,USD,CASH,2025-07-25T06:05:57,SUCCESS
T-3192,A-2094,A-2030,3546.13,USD,ONLINE,2025-04-05T02:31:19,SUCCESS
T-3193,A-2100,A-2240,5468.2,AUD,MOBILE,2021-04-27T05:47:46,FAILED
T-3194,A-2250,A-2184,2147.85,JPY,MOBILE,2021-11-27T14:55:14,PENDING
T-3195,A-2134,A-2161,2296.52,CAD,MOBILE,2022-12-17T01:15:04,SUCCESS
T-3196,A-2125,A-2205,701.69,INR,ONLINE,2025-06-28T19:33:17,PENDING
T-3197,A-2070,A-2194,7253.61,USD,POS,2021-09-27T07:00:46,PENDING
T-3198,A-2147,A-2217,8188.86,USD,ATM,2022-04-18T09:36:25,FAILED
T-3199,A-2172,A-2094,7528.2,AUD,CASH,2023-08-29T14:00:15,PENDING
T-3200,A-2181,A-2090,8063.81,CAD,ONLINE,2020-03-05T02:11:31,SUCCESS
T-3201,A-2045,A-2068,7105.88,EUR,ONLINE,2022-05-04T10:31:09,SUCCESS
T-3202,A-2259,A-2295,3529.07,USD,POS,2021-02-26T04:30:55,FAILED
T-3203,A-2188,A-2208,5417.48,INR,CASH,2022-10-13T04:22:25,PENDING
T-3204,A-2063,A-2230,2244.79,JPY,CASH,2025-05-13T16:09:05,FAILED
T-3205,A-2278,A-2035,476.95,JPY,CASH,2020-02-27T18:28:19,FAILED
T-3206,A-2083,A-2168,9779.6,CAD,ONLINE,2020-09-06T04:12:20,FAILED
T-3207,A-2200,A-2096,4725.46,INR,MOBILE,2020-04-29T22:32:56,SUCCESS
T-3208,A-2210,A-2024,1534.38,USD,ONLINE,2020-12-12T01:26:32,SUCCESS
T-3209,A-2034,A-2220,2190.24,CAD,POS,2022-03-07T19:17:41,FAILED
T-3210,A-2041,A-2295,1044.56,USD,CASH,2020-09-13T23:37:39,SUCCESS
T-3211,A-2185,A-2112,1004.19,CAD,POS,2023-11-09T10:26:39,SUCCESS
T-3212,A-2179,A-2117,1600.96,AUD,ONLINE,2024-05-09T05:18:32,SUCCESS
T-3213,A-2207,A-2020,4931.53,USD,MOBILE,2020-08-30T17:50:50,FAILED
T-3214,A-2098,A-2083,4321.43,USD,POS,2022-06-08T21:04:07,SUCCESS
T-3215,A-2202,A-2290,8940.13,CAD,ONLINE,2020-09-15T17:30:08,PENDING
T-3216,A-2054,A-2284,1210.52,CAD,MOBILE,2024-11-27T18:02:15,PENDING
T-3217,A-2109,A-2277,1595.62,AUD,ATM,2023-01-29T19:46:07,SUCCESS
T-3218,A-2157,A-2125,4075.22,EUR,ONLINE,2023-05-20T12:09:35,SUCCESS
T-3219,A-2197,A-2066,230.83,INR,MOBILE,2021-05-27T18:59:46,SUCCESS
T-3220,A-2208,A-2245,2009.85,INR,ATM,2023-09-24T17:08:32,FAILED
T-3221,A-2183,A-2146,5603.83,AUD,POS,2023-08-30T13:49:17,PENDING
T-3222,A-2116,A-2252,5178.76,CAD,ATM,2020-12-06T00:53:55,SUCCESS
T-3223,A-2003,A-2014,8601.97,JPY,ATM,2023-02-25T03:50:29,SUCCESS
T-3224,A-2040,A-2183,9641.15,AUD,ATM,2020-12-30T19:46:52,FAILED
T-3225,A-2097,A-2176,8652.45,JPY,ONLINE,2023-06-06T10:51:48,SUCCESS
T-3226,A-2113,A-2119,9412.39,AUD,ATM,2021-08-11T17:59:55,PENDING
T-3227,A-2242,A-2136,7568.23,CAD,ONLINE,2023-10-25T09:02:18,PENDING
T-3228,A-2257,A-2001,2073.77,INR,ATM,2022-08-25T01:48:10,SUCCESS
T-3229,A-2023,A-2279,3152.09,INR,ATM,2023-09-30T07:38:19,SUCCESS
T-3230,A-2146,A-2230,8248.01,AUD,ONLINE,2022-03-02T12:57:33,FAILED
T-3231,A-2230,A-2056,2077.62,CAD,POS,2024-02-11T04:02:04,PENDING
T-3232,A-2155,A-2037,3953.62,INR,POS,2021-09-01T15:40:31,PENDING
T-3233,A-2022,A-2154,5224.15,USD,ATM,2022-04-29T15:54:46,SUCCESS
T-3234,A-2101,A-2134,7614.02,USD,ONLINE,2020-04-20T23:56:15,SUCCESS
T-3235,A-2242,A-2016,8756.36,JPY,MOBILE,2021-03-21T15:24:44,SUCCESS
T-3236,A-2228,A-2178,5121.49,CAD,ATM,2025-04-14T01:53:12,FAILED
T-3237,A-2072,A-2248,2258.54,AUD,ATM,2022-04-06T08:30:34,FAILED
T-3238,A-2242,A-2004,3605.75,AUD,ATM,2025-06-07T00:26:04,SUCCESS
T-3239,A-2214,A-2237,795.91,AUD,ATM,2023-10-09T15:32:58,PENDING
T-3240,A-2261,A-2128,5362.67,EUR,ONLINE,2020-01-27T15:21:01,PENDING
T-3241,A-2111,A-2074,4679.17,JPY,MOBILE,2021-11-02T17:35:13,FAILED
T-3242,A-2003,A-2239,3130.44,GBP,ATM,2025-08-09T08:33:50,SUCCESS
T-3243,A-2106,A-2027,5706.61,GBP,MOBILE,2020-06-20T12:12:03,FAILED
T-3244,A-2013,A-2066,9135.93,AUD,ATM,2020-08-05T16:02:10,FAILED
T-3245,A-2082,A-2012,3689.95,JPY,POS,2023-03-19T16:40:18,SUCCESS
T-3246,A-2054,A-2110,8741.03,CAD,ONLINE,2020-10-21T16:22:29,PENDING
T-3247,A-2143,A-2218,7727.55,GBP,CASH,2023-02-02T14:28:12,PENDING
T-3248,A-2091,A-2037,3167.23,INR,ONLINE,2020-05-10T21:14:34,PENDING
T-3249,A-2068,A-2140,5866.29,EUR,ATM,2021-04-08T03:40:57,PENDING
T-3250,A-2179,A-2263,4790.01,USD,MOBILE,2024-04-26T10:06:26,FAILED
T-3251,A-2076,A-2059,5015.04,INR,MOBILE,2023-10-29T14:38:23,FAILED
T-3252,A-2161,A-2264,7578.45,GBP,CASH,2020-02-18T00:40:05,SUCCESS
T-3253,A-2269,A-2085,4294.66,JPY,MOBILE,2020-02-28T15:26:53,SUCCESS
T-3254,A-2158,A-2213,3083.92,GBP,ATM,2023-12-14T06:17:26,FAILED
T-3255,A-2286,A-2232,3651.55,USD,MOBILE,2022-07-27T08:41:16,PENDING
T-3256,A-2298,A-2294,9323.3,AUD,CASH,2024-06-11T01:02:41,PENDING
T-3257,A-2202,A-2052,2991.57,AUD,ATM,2021-01-26T08:29:58,PENDING
T-3258,A-2255,A-2004,6449.34,JPY,CASH,2021-01-18T13:39:59,FAILED
T-3259,A-2022,A-2027,9587.3,USD,MOBILE,2022-01-26T13:45:13,PENDING
T-3260,A-2104,A-2157,4049.63,AUD,ONLINE,2024-03-02T13:41:05,PENDING
T-3261,A-2223,A-2288,8812.87,GBP,CASH,2021-10-17T09:23:49,SUCCESS
T-3262,A-2042,A-2095,1550.32,AUD,MOBILE,2020-04-22T21:23:22,PENDING
T-3263,A-2286,A-2197,4898.9,AUD,MOBILE,2024-03-25T15:28:39,FAILED
T-3264,A-2058,A-2197,3625.28,EUR,MOBILE,2025-01-25T13:50:41,SUCCESS
T-3265,A-2141,A-2023,4556.97,INR,MOBILE,2020-06-24T08:21:57,FAILED
T-3266,A-2006,A-2111,7082.13,CAD,ONLINE,2020-07-26T05:57:00,SUCCESS
T-3267,A-2033,A-2063,4564.73,EUR,MOBILE,2020-03-10T22:05:17,FAILED
T-3268,A-2187,A-2047,4364.33,EUR,ATM,2021-04-02T08:21:45,FAILED
T-3269,A-2079,A-2277,7352.24,AUD,ATM,2024-01-19T17:32:36,PENDING
T-3270,A-2185,A-2280,2080.78,CAD,MOBILE,2021-02-01T06:56:08,FAILED
T-3271,A-2043,A-2061,7158.09,USD,MOBILE,2023-09-29T20:42:42,PENDING
T-3272,A-2162,A-2085,106.95,USD,POS,2025-01-07T23:53:50,SUCCESS
T-3273,A-2076,A-2204,9002.85,GBP,ATM,2025-01-28T02:11:00,PENDING
T-3274,A-2153,A-2035,777.03,USD,MOBILE,2022-10-29T07:33:06,SUCCESS
T-3275,A-2191,A-2229,2490.13,USD,ONLINE,2022-05-23T22:35:17,SUCCESS
T-3276,A-2117,A-2239,7479.56,AUD,CASH,2024-04-10T15:37:06,FAILED
T-3277,A-2165,A-2275,4970.48,GBP,ATM,2022-01-12T07:28:52,PENDING
T-3278,A-2095,A-2034,6953.39,USD,CASH,2023-12-28T14:45:46,SUCCESS
T-3279,A-2065,A-2180,7931.11,AUD,MOBILE,2025-01-09T08:40:23,FAILED
T-3280,A-2143,A-2052,3839.09,USD,MOBILE,2025-03-28T04:52:35,SUCCESS
T-3281,A-2115,A-2186,5939.66,CAD,ONLINE,2021-12-15T21:49:22,FAILED
T-3282,A-2251,A-2249,1451.73,CAD,POS,2020-09-14T00:17:06,PENDING
T-3283,A-2109,A-2290,7312.82,AUD,ONLINE,2020-06-06T08:10:11,FAILED
T-3284,A-2250,A-2183,5633.98,AUD,ONLINE,2021-10-05T00:09:03,FAILED
T-3285,A-2183,A-2141,9613.76,AUD,ATM,2020-05-23T19:50:13,PENDING
T-3286,A-2185,A-2173,2310.97,USD,ATM,2022-08-08T03:00:32,PENDING
T-3287,A-2226,A-2047,4210.72,JPY,MOBILE,2025-08-08T20:20:58,FAILED
T-3288,A-2297,A-2062,340.58,INR,ONLINE,2024-04-28T14:18:04,PENDING
T-3289,A-2247,A-2064,8442.97,GBP,ATM,2023-06-06T05:11:43,FAILED
T-3290,A-2009,A-2255,6747.64,INR,CASH,2020-03-13T02:47:32,PENDING
T-3291,A-2108,A-2028,5478.34,USD,ATM,2021-04-25T04:52:40,PENDING
T-3292,A-2055,A-2077,7054.64,INR,MOBILE,2024-08-05T20:04:53,FAILED
T-3293,A-2121,A-2045,1053.11,EUR,ONLINE,2021-11-04T19:31:32,FAILED
T-3294,A-2285,A-2100,1901.45,CAD,ONLINE,2020-09-01T14:19:54,PENDING
T-3295,A-2076,A-2241,5751.66,INR,MOBILE,2022-01-03T04:44:09,SUCCESS
T-3296,A-2152,A-2011,8964.86,EUR,POS,2025-07-26T03:21:53,SUCCESS
